DocumentRatingSource,FlownYear,FlownMonth,AgentCode,AgentName,POS,POSCountryName,OriginCode,DestinationCode,CargoType,ProductCode,SpecialHandlingCodeList,CommodityCode,ChargeableWeight,Pieces,Revenue
XXXX,2017,SEPTEMBER,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,1.5,1,6.152
XXXX,2017,SEPTEMBER,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BV,62.1,1,1477.109
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,9,1,6.45
XXXX,2017,OCTOBER  ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,179.7,2,539.1
XXXX,2017,SEPTEMBER,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BM,1.8,1,71.356
XXXX,2017,NOVEMBER ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,0.3,1,9.522
XXXX,2017,OCTOBER  ,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BV,64.5,1,1568.443
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,2.4,1,1.72
XXXX,2017,SEPTEMBER,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,1.8,1,6.152
XXXX,2017,NOVEMBER ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,60,1,180
XXXX,2017,OCTOBER  ,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BV,62.7,1,1524.664
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,11.1,1,7.96
XXXX,2017,SEPTEMBER,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,1.5,1,6.152
XXXX,2017,NOVEMBER ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,90,1,270
XXXX,2017,OCTOBER  ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,1.5,1,6.255
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,4.5,1,3.23
XXXX,2017,OCTOBER  ,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BM,10.5,1,255.333
XXXX,2017,NOVEMBER ,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BM,40.8,1,1000.145
XXXX,2017,NOVEMBER ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,1.8,1,5.4
XXXX,2017,OCTOBER  ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,8.7,1,28.151
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,5.7,1,4.09
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,23.7,1,16.99
XXXX,2017,NOVEMBER ,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BM,34.5,1,845.718
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,40.8,1,29.24
XXXX,2017,OCTOBER  ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,0.6,1,3.128
XXXX,2017,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,3.3,1,1.045
XXXX,2017,SEPTEMBER,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,21,1,15.05
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,4.5,1,3.23
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,19.5,1,13.98
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,110.4,3,79.12
XXXX,2017,OCTOBER  ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,5.7,1,18.766
XXXX,2017,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,7.8,1,2.47
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BV,1.2,1,3.1
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,1.2,1,0.86
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,13.8,1,9.89
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,1.8,1,0.57
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,0.9,1,0.65
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RL,30,1,9.5
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,0.6,1,0.43
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,12,1,8.6
XXXX,2017,OCTOBER  ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,1.5,1,6.255
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,3.6,1,2.58
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,0.3,1,3.1
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,30.3,1,21.72
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RL,6.6,1,2.09
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,0.9,1,0.65
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,135,2,405
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,54,2,38.7
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,3,1,9.299
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,1.5,1,0.475
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,15.3,1,45.9
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,6.6,1,4.73
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,4.5,1,15.499
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,2.7,1,0.855
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,77.1,1,55.26
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,29.7,1,89.1
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,RW,61.8,2,44.29
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,5.1,1,15.499
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,21,1,15.05
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,2.1,1,0.665
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,63.3,2,45.37
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,7.8,1,23.4
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,59.1,2,42.36
XXXX,2017,NOVEMBER ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,4.2,1,1.33
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,0.3,1,3.1
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,11.1,1,7.96
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,19.8,1,59.4
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,BW,59.1,2,42.36
XXXX,2017,NOVEMBER ,XHZNDXH,XHZNRD1OOGW1KIALUDDGNZOAZOFS,BKT,RPSSQJQEVIFUNUSXQN,BKT,ZZZ,YYY,X,RWCBA,BW,2.7,1,9.299
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,AVE,PJMIV5OVXKAFPJMDKYSQRCHI,AVE,ZZZ,YYY,Y,RWCBA,B2324,33.3,1,99.9
